Continent,DateRange,Continent_Count_By_Date_Range
NorthAmerica,1900-1999,4462
Europe,1900-1999,3343
Europe,1800-1899,1208
Asia,0-1799,212
NorthAmerica,1800-1899,673
Europe,0-1799,1034
NorthAmerica,0-1799,848
Asia,1800-1899,145
Asia,1900-1999,805
SouthAmerica,1900-1999,491
SouthAmerica,0-1799,51
SouthAmerica,1800-1899,32
Oceania,1900-1999,62
Africa,1900-1999,124
Oceania,0-1799,7
Oceania,1800-1899,2
Africa,0-1799,12
Europe,2000-2023,36
NorthAmerica,2000-2023,28
Africa,2000-2023,1
Asia,2000-2023,10
Oceania,2000-2023,2
